title,summary,category
Neutral Bay ferry wharf,Neutral Bay ferry wharf is located on Neutral Bay on the northern side of Sydney Harbour serving the Sydney suburb of Neutral Bay On 20 February 2012 the wharf closed for a rebuild The existing wharf was demolished with a new one built reopening on 20 August 2012 ,0
Mike Hamlin,Mike Hamlin 19352017 was an American labor activist and social workerHamlin was born in Mississippi and moved to Ecorse Michigan just outside of Detroit in 1947Hamlin is featured in the documentary Finally Got The News which documents the formation movement practices and philosophy of the League of Revolutionary Black Workers LRBW a MarxistLeninist organization of Black workers in Detroit that he cofounded ,0
The Dead Girl,The Dead Girl is a 2006 American drama thriller film written and directed by Karen Moncrieff starring Brittany Murphy Toni Collette Rose Byrne and Marcia Gay Harden The film was nominated for several 2007 Independent Spirit Awards including Best Feature and Best Director It is the story of a young womans death and the people linked to her murder It also features Mary Beth Hurt Kerry Washington James Franco Giovanni Ribisi Josh Brolin Mary Steenburgen and Piper Laurie The film was premiered at the AFI Film Festival 7 November 2006 and was given a limited US theatrical release on 29 December 2006 It was generally well received It only ran for two weeks in US firstrun theaters and earned nearly all its revenue from overseas release ,0
List of Important Cultural Properties of Japan (Shōwa period: structures),This list is of Japanese structures dating from the Shwa period 19261989 that have been designated Important Cultural Properties As of October 2016 fiftythree properties with one hundred and eight component structures have been so designated ,0
Charles F. Carpentier,Charles Francis Carpentier September 19 1896  April 3 1964 was an American businessman and politician ,0
James Sutter,James Hutchinson Sutter 1818  13 April 1903 was a 19thcentury member of parliament in Canterbury New Zealand He represented the Gladstone electorate from 1881 to 1887 when he retired He was Mayor of Timaru from 1875 to 1876 and from 1879 to 1882 He died on 13 April 1903 aged 85  References  ,0
A Lost Lady (1934 film),A Lost Lady is a 1934 American drama film directed by Alfred E Green and starring by Barbara Stanwyck Frank Morgan and Ricardo Cortez Based on the 1923 novel A Lost Lady by Willa Cather with a screenplay by Gene Markey and Kathryn Scola the film is about a woman whose fianc is murdered by his mistress husband two days before their wedding Her uncle sends her away to the mountains where she meets a man who looks after her and eventually proposes She accepts even though she does not love him Warner Brothers had filmed this story before in 1924 as a silent with Irene Rich ,0
"Frederick Ferdinand, Duke of Anhalt-Köthen",Frederick Ferdinand of AnhaltKthen 25 June 1769 in Pless  23 August 1830 in Kthen was a German prince Ascanian ruler of the principality of AnhaltPless and from 1818 of the duchy of AnhaltKthen He was the second son of Frederick Erdmann Prince of AnhaltPless and his wife Countess Louise Ferdinande of StolbergWernigerode daughter of Henry Ernest Count of StolbergWernigerode ,0
Walter Bénéteau,Walter Bnteau 28 July 1972  10 December 2022 was a French professional cyclist He raced in every Tour de France from 2000 until 2006 ,0
Alexander Mayer (swimmer),Alexander Mayer born 7 July 1967 is a German former swimmer He competed in two events at the 1988 Summer Olympics representing West Germany ,0
Picauville,Picauville French pronunciation pikovil is a commune in the Manche department in Normandy in northwestern France On 1 January 2016 the former communes of Amfreville Cretteville Gourbesville Houtteville and Vindefontaine were merged into Picauville On 1 January 2017 the former commune of Les MoitiersenBauptois was merged into Picauville The inhabitants are called Picauvillais Picauville also has a 17th century castle classified as a historical landmark by the French government called the IsleMarie Castle Parts of the structure date to the 11th century ,0
Aulopoma grande,Aulopoma grande is a species of small land snail with an operculum terrestrial pulmonate gastropod mollusc in the family Cyclophoridae It is endemic to Sri LankaIt is about 2127mm in length  References  ,1
Bonito River (Canoinhas River tributary),The Bonito River is a river of Santa Catarina state in southeastern Brazil It is part of the Paran River basin and is a tributary of the Canoinhas River ,-1
Ford ministry,The Ford ministry is the Cabinet chaired by Premier Doug Ford that began governing Ontario shortly before the opening of the 42nd Parliament The original members were sworn in during a ceremony held at Queens Park on June 29 2018Ford has carried out four major Cabinet reshuffles once in 2019 2021 2022 and 2023 ,-1
Jonathan Dixon (actor),Jonathan Dixon born 10 August 1988 known professionally as Jonny Dixon is a British television actor best known for playing playground bully Matthew Mooey Humphries in longrunning CBBC show Grange Hill He appeared in Manchesterbased soap opera Coronation Street as Darryl Morton He joined the soap in March 2007 Dixon was born in Pudsey He was a friend of Jack P Shepherd who plays his onscreen friend David Platt before getting his role in Coronation Street It was reported on 15 May 2009 that Dixon and costar Wanda Opalinska would be written out of the soap and would be departing later in the year with it being said that this was due to natural storyline progression He last appeared in the episode broadcast on 16 October 2009 In April 2011 Dixon filmed an episode of Doctors to be broadcast on BBC1 in July 2011 He was a regular on Boy Meets Girl playing the role of James on the first two series airing 201516 For the last three years he has taken part in Show in a Week at South Craven School  a musical theatre production which is conceived choreographed and rehearsed in just three days In 2018 Dixon appeared in the Doctor Who episode The Woman Who Fell to Earth as Karl a crane driver being hunted by an alien species He reprised the role in Eve of the Daleks the 2022 New Year specialDixon runs his own independent film production company Isaac Who which is based in Leeds in the North of England The company creates film TV and video productions with specialism in actor showreels corporate videos and live music video recordings Dixon also produces and directors original films as part of Isaac Who In 2019 he directed a series of short films in collaboration with Psychotastic Productions These included Assisted featuring his former Coronation Street costars Steven Arnold and Steve Huison and The Invisible Collection starring Ian Gelder  Mark Wingett ,-1
