title,summary,category
Science,"Science is a rigorous, systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the world. Modern science is typically divided into three major branches: natural sciences (e.g., physics, chemistry, and biology), which study the physical world; the social sciences (e.g., economics, psychology, and sociology), which study individuals and societies; and the formal sciences (e.g., logic, mathematics, and theoretical computer science), which study formal systems, governed by axioms and rules. There is disagreement whether the formal sciences are science disciplines, because they do not rely on empirical evidence. Applied sciences are disciplines that use scientific knowledge for practical purposes, such as in engineering and medicine.The history of scientific discipline spans the majority of the historical record, with the earliest written records of identifiable predecessors to modern science dating to Bronze Age Egypt and Mesopotamia from around 3000 to 1200 BCE. Their contributions to mathematics, astronomy, and medicine entered and shaped the Greek natural philosophy of classical antiquity, whereby formal attempts were made to provide explanations of events in the physical world based on natural causes, while further advancements, including the introduction of the Hindu–Arabic numeral system, were made during the Golden Age of India.: 12  Scientific research deteriorated in these regions after the fall of the Western Roman Empire during the early middle ages (400 to 1000 CE), but in the Medieval renaissances (Carolingian Renaissance, Ottonian Renaissance and the Renaissance of the 12th century) scholarship flourished again. Some Greek manuscripts lost in Western Europe were preserved and expanded upon in the Middle East during the Islamic Golden Age and later by the efforts of Byzantine Greek scholars who brought Greek manuscripts from the dying Byzantine Empire to Western Europe in the Renaissance.
The recovery and assimilation of Greek works and Islamic inquiries into Western Europe from the 10th to 13th century revived ""natural philosophy"", which was later transformed by the Scientific Revolution that began in the 16th century as new ideas and discoveries departed from previous Greek conceptions and traditions. The scientific method soon played a greater role in knowledge creation and it was not until the 19th century that many of the institutional and professional features of science began to take shape, along with the changing of ""natural philosophy"" to ""natural science"".New knowledge in science is advanced by research from scientists who are motivated by curiosity about the world and a desire to solve problems. Contemporary scientific research is highly collaborative and is usually done by teams in academic and research institutions, government agencies, and companies. The practical impact of their work has led to the emergence of science policies that seek to influence the scientific enterprise by prioritizing the ethical and moral development of commercial products, armaments, health care, public infrastructure, and environmental protection.",1
Outline of science,"The following outline is provided as a topical overview of science; the discipline of science is defined as both the systematic effort of acquiring knowledge through observation, experimentation and reasoning, and the body of knowledge thus acquired, the word ""science"" derives from the Latin word scientia meaning knowledge. A practitioner of science is called a ""scientist"". Modern science respects objective logical reasoning, and follows a set of core procedures or rules to determine the nature and underlying natural laws of all things, with a scope encompassing the entire universe. These procedures, or rules, are known as the scientific method.",1
Hawking Fellowship,"The Professor Stephen Hawking Fellowship (The Hawking Fellowship) is a prestigious annual fellowship of The Cambridge Union Society in the University of Cambridge. Awarded to an individual who has made an exceptional contribution to the STEM fields and social discourse, it is unique amongst comparable accolades in that it is conferred by the students of the University (through the Union), rather than the University itself.Established to celebrate Hawking’s achievements and the close relationship between him and the students of Cambridge, Professor Hawking accepted the inaugural fellowship and delivered the lecture in his last public appearance before his passing. Each honouree visits the Union to commence their tenure as fellow, delivering what is known as ‘The Hawking Lecture’.",1
William Zimmerle,William Gerlad Zimmerle is a scholar and archaeologist. He is also the Director of the Dhofar Ethnography Preservation Project and the Dhofar Rock Art & Arabian Inscriptions Project. Both which are auspices of the Diwan of the Royal Court in the Sultanate of Oman.He is currently a Senior Lecturer in the Arts & Humanities department at New York University Abu Dhabi (NYUAD).,1
Science and technology studies,"Science and technology studies (STS) or science, technology, and society is an interdisciplinary field that examines the creation, development, and consequences of science and technology in their historical, cultural, and social contexts.",1
ABC@Home,"ABC@Home was an educational and non-profit network computing project finding abc-triples related to the abc conjecture in number theory using the Berkeley Open Infrastructure for Network Computing (BOINC) volunteer computing platform.
In March 2011, there were more than 7,300 active participants from 114 countries with a total BOINC credit of more than 2.9 billion, reporting about 10 teraflops (10 trillion operations per second) of processing power.In 2011, the project met its goal of finding all abc-triples of at most 18 digits. By 2015, the project had found 23.8 million triples in total, and ceased operations soon after.",1
Africa@home,"Africa@home is a website that allow users to use their home computers to contribute for humanitarian causes at Africa. This project first went public on 13 July 2006. It partners with Swiss Tropical Institute, the University of Geneva, CERN, and ICVolunteers (ICV). It is sponsored by the Geneva International Academic Network (GIAN).Africa@home together with ICVolunteers, recruited volunteers across Africa to help with the project. The Malaria Control Project (MCP) was the first and the only volunteer computing project run by Africa@home. MCP ran for 10 years and became inactive since 21 June 2016.",1
Alan Alda Center for Communicating Science,"The Alan Alda Center for Communicating Science is a cross-disciplinary organization founded in 2009 within Stony Brook University's School of Communication and Journalism, in Stony Brook, New York. Its current director is Laura Lindenfeld. Its goal is to help scientists learn to communicate more effectively with the public, including policymakers, students, funders and the media. It was inspired by Alan Alda, the actor, writer and science advocate, in whose honor it was renamed in 2013, and is supported by Brookhaven National Laboratory and Cold Spring Harbor Laboratory.",1
AQUA@home,"AQUA@home was a volunteer computing project operated by D-Wave Systems that ran on the Berkeley Open Infrastructure for Network Computing (BOINC) software platform. It ceased functioning in August 2011. Its goal was to predict the performance of superconducting adiabatic quantum computers on a variety of problems arising in fields ranging from materials science to machine learning. It designed and analyzed quantum computing algorithms, using Quantum Monte Carlo techniques.
AQUA@home was the first BOINC project to provide multi-threaded applications. It was also the first project to deploy an OpenCL test application under BOINC.",1
Artificial Intelligence System,"Artificial Intelligence System (AIS) was a volunteer computing project undertaken by Intelligence Realm, Inc. with the long-term goal of simulating the human brain in real time, complete with artificial consciousness and artificial general intelligence. They claimed to have found, in research, the ""mechanisms of knowledge representation in the brain which is equivalent to finding artificial intelligence"", before moving into the developmental phase.",1
