id,title,Category
lFlu60qs7_4,how one line in the oldest math text hinted at hidden universes ,0
HeQX2HjkcNo,math39s fundamental flaw ,0
2WcbPcGrQZU,the history of mathematics documentary ,0
tLPL8pM8Xkw,why does vegas have its own value of pi ,0
B1J6Ou4q8vE,animation vs math ,0
igcoDFokKzU,addition and subtraction with dinosaurs  math for kids  math operations ,0
8cR_1Qi-tP4,meet the math facts  addition amp subtraction level 1 free  preschool prep company ,0
6r3Eqtl3nDM,colourful math for kids  numberblocks 1 hour compilation  123  numbers cartoon for kids ,0
_lfYn_p0Oho,maths vs physics ,0
RdzCXBgB-9s,mini math movies compilation  math video collection  scratch garden ,0
lA5Bw7Ir810,laissezmoi ken   barbie ,0
k9ZT2YWkLBI,meet the math facts  addition amp subtraction level 3 free  preschool prep company ,0
lbSgme6YdAs,mexico  a nice math olympiad exponential problem ,0
X4veT09-m94,math addition for 1st and 2nd grade ,0
24rZwis4npw,a playlist to romanticize studying math ,0
7c51zFHrjec,exciting football highlights  learn to count  30 mins of maths for kids  numberblocks ,0
3uzTABTaX5k,luxembourg  math olympiad question  you should know this trick ,0
TGXIZIe3Nzc,learn subtraction  30 minutes of subtraction  maths for kids  numberblocks ,0
ITOXb8K74is,math quiz for kids  one digit addition quiz  mental math quiz for kids  quiz time ,0
OQjkFQAIOck,maths quiz for kids  multiplication table quiz for kids  quiz time  ,0
P-sU9xkmZ5o,the history of mathematics documentary ,0
WcgV9qWE7qU,wendy alex and lyndon learn math amp numbers for the school exam  fun kids videos ,0
zAKStNdNn-U,catch the math  free maths classes for all railway exams 2023  class  60  maths by sahil sir ,0
JDGPnLfH1Io,stop doing math wtmmp ,0
mjlsSYLLOSE,basic math addition for kids  noodle kidz prek and kindergarten educational video ,0
8mve0UoSxTo,mathematics is the queen of sciences ,0
1v-wLVskEiQ,pythagoras39 theorem edit   shorts maths ,0
48pZWbXx-Hw,astronomy vs mathematics  science physics maths shorts ,0
6N0YPw7ogJw,asians could be all above average in math ,0
K04qorJ7t3o,unsolved mathematics questions  success motivational video shivam malik shorts ,0
rCIjp_irGqE,gce math paper 1 common exam questions ,0
